State,Year,rain_mm
ACT,2007,3.219672131147541
ACT,2008,1.4612021857923496
ACT,2009,1.206027397260274
ACT,2010,2.6295890410958904
ACT,2011,1.7067484662576686
ACT,2012,2.027544910179641
ACT,2013,1.4949554896142434
ACT,2014,1.5663911845730027
ACT,2015,1.5113573407202217
ACT,2016,2.153551912568306
ACT,2017,1.047126436781609
NSW,2008,2.837444933920705
NSW,2009,2.28780353200883
NSW,2010,2.805997736703131
NSW,2011,3.086800894854586
NSW,2012,2.848345588235294
NSW,2013,2.7015837563451774
NSW,2014,2.29885801294252
NSW,2015,2.9615194211728864
NSW,2016,2.7505785740948117
NSW,2017,3.2183489827856024
NT,2008,2.5925581395348836
NT,2009,2.492054794520548
NT,2010,4.146301369863014
NT,2011,4.267462686567164
NT,2012,2.5435820895522387
NT,2013,2.401840490797546
NT,2014,2.6847069597069595
NT,2015,2.9721611721611723
NT,2016,2.281651376146789
NT,2017,5.696138996138996
QLD,2008,4.0181818181818185
QLD,2009,4.485910652920962
QLD,2010,5.736494845360825
QLD,2011,4.579325842696629
QLD,2012,4.374439461883408
QLD,2013,2.879584261321455
QLD,2014,3.1073305670816045
QLD,2015,3.7502086230876217
QLD,2016,2.8580318379160636
QLD,2017,4.693487698986975
SA,2008,1.7949238578680204
SA,2009,1.3226648351648351
SA,2010,1.53767217630854
SA,2011,1.6348416289592762
SA,2012,1.1730566037735848
SA,2013,1.433003802281369
SA,2014,1.2319723183391005
SA,2015,0.977372764786795
SA,2016,1.8637931034482758
SA,2017,1.1330459770114942
TAS,2008,1.3981395348837211
TAS,2009,2.21013698630137
TAS,2010,1.8554794520547946
TAS,2011,1.8807174887892377
TAS,2012,1.5397014925373134
TAS,2013,2.17
TAS,2014,1.4716850828729282
TAS,2015,1.4260989010989011
TAS,2016,2.3275956284153003
TAS,2017,1.089655172413793
VIC,2008,1.570731707317073
VIC,2009,1.336849315068493
VIC,2010,2.2046623243057937
VIC,2011,2.2915552158960644
VIC,2012,1.63780253553592
VIC,2013,1.690919496375429
VIC,2014,1.3698485382176824
VIC,2015,1.2251370399373531
VIC,2016,1.8996415770609318
VIC,2017,1.361456102783726
WA,2008,1.9534883720930232
WA,2009,2.0009222133119486
WA,2010,1.5144475920679885
WA,2011,2.43843102688409
WA,2012,2.061797752808989
WA,2013,2.6652553470100395
WA,2014,1.907891541885876
WA,2015,1.7613501776549545
WA,2016,2.348357736446379
WA,2017,1.764710743801653
